IMPORTANT DETAIL,,,
"In order to insert an Idea that uses a PivotTable or formula, your data was organized in columns with a single header row.",,,
,,,
,,,
,Field1,Field2,Field3
,Table of 1 US Dollar to South African Rand Exchange Rate:,US DOLLAR CASH II E HYBRID USD ACC,Updated: 12/02/21 12:13
,Date,1 USD = 14.625 ZAR,Link
,Thursday 11 February 2021,1 USD = 14.755 ZAR,USD ZAR rate for 11/02/2021
,Wednesday 10 February 2021,1 USD = 14.725 ZAR,USD ZAR rate for 10/02/2021
,Tuesday 9 February 2021,1 USD = 14.866 ZAR,USD ZAR rate for 09/02/2021
,Monday 8 February 2021,1 USD = 14.918 ZAR,USD ZAR rate for 08/02/2021
,Sunday 7 February 2021,1 USD = 14.842 ZAR,USD ZAR rate for 07/02/2021
,Saturday 6 February 2021,1 USD = 14.840 ZAR,USD ZAR rate for 06/02/2021
,Friday 5 February 2021,1 USD = 15.000 ZAR,USD ZAR rate for 05/02/2021
,Thursday 4 February 2021,1 USD = 14.942 ZAR,USD ZAR rate for 04/02/2021
,Wednesday 3 February 2021,1 USD = 14.962 ZAR,USD ZAR rate for 03/02/2021
,Tuesday 2 February 2021,1 USD = 15.062 ZAR,USD ZAR rate for 02/02/2021
,Monday 1 February 2021,1 USD = 15.186 ZAR,USD ZAR rate for 01/02/2021
,Sunday 31 January 2021,1 USD = 15.178 ZAR,USD ZAR rate for 31/01/2021
,Saturday 30 January 2021,1 USD = 15.167 ZAR,USD ZAR rate for 30/01/2021
,Friday 29 January 2021,1 USD = 15.211 ZAR,USD ZAR rate for 29/01/2021
,Thursday 28 January 2021,1 USD = 15.289 ZAR,USD ZAR rate for 28/01/2021
,Wednesday 27 January 2021,1 USD = 15.064 ZAR,USD ZAR rate for 27/01/2021
,Tuesday 26 January 2021,1 USD = 15.230 ZAR,USD ZAR rate for 26/01/2021
,Monday 25 January 2021,1 USD = 15.148 ZAR,USD ZAR rate for 25/01/2021
,Sunday 24 January 2021,1 USD = 15.154 ZAR,USD ZAR rate for 24/01/2021
,Saturday 23 January 2021,1 USD = 15.154 ZAR,USD ZAR rate for 23/01/2021
,Friday 22 January 2021,1 USD = 14.934 ZAR,USD ZAR rate for 22/01/2021
,Thursday 21 January 2021,1 USD = 14.904 ZAR,USD ZAR rate for 21/01/2021
,Wednesday 20 January 2021,1 USD = 14.993 ZAR,USD ZAR rate for 20/01/2021
,Tuesday 19 January 2021,1 USD = 15.169 ZAR,USD ZAR rate for 19/01/2021
,Monday 18 January 2021,1 USD = 15.231 ZAR,USD ZAR rate for 18/01/2021
,Sunday 17 January 2021,1 USD = 15.227 ZAR,USD ZAR rate for 17/01/2021
,Saturday 16 January 2021,1 USD = 15.228 ZAR,USD ZAR rate for 16/01/2021
,Friday 15 January 2021,1 USD = 15.099 ZAR,USD ZAR rate for 15/01/2021
,Thursday 14 January 2021,1 USD = 15.263 ZAR,USD ZAR rate for 14/01/2021
,Wednesday 13 January 2021,1 USD = 15.206 ZAR,USD ZAR rate for 13/01/2021
,Tuesday 12 January 2021,1 USD = 15.539 ZAR,USD ZAR rate for 12/01/2021
,Monday 11 January 2021,1 USD = 15.308 ZAR,USD ZAR rate for 11/01/2021
,Sunday 10 January 2021,1 USD = 15.304 ZAR,USD ZAR rate for 10/01/2021
,Saturday 9 January 2021,1 USD = 15.300 ZAR,USD ZAR rate for 09/01/2021
,Friday 8 January 2021,1 USD = 15.448 ZAR,USD ZAR rate for 08/01/2021
,Thursday 7 January 2021,1 USD = 15.054 ZAR,USD ZAR rate for 07/01/2021
,Wednesday 6 January 2021,1 USD = 14.976 ZAR,USD ZAR rate for 06/01/2021
,Tuesday 5 January 2021,1 USD = 14.713 ZAR,USD ZAR rate for 05/01/2021
,Monday 4 January 2021,1 USD = 14.653 ZAR,USD ZAR rate for 04/01/2021
,Sunday 3 January 2021,1 USD = 14.663 ZAR,USD ZAR rate for 03/01/2021
,Saturday 2 January 2021,1 USD = 14.663 ZAR,USD ZAR rate for 02/01/2021
,Friday 1 January 2021,1 USD = 14.662 ZAR,USD ZAR rate for 01/01/2021
,Thursday 31 December 2020,1 USD = 14.644 ZAR,USD ZAR rate for 31/12/2020
,Wednesday 30 December 2020,1 USD = 14.716 ZAR,USD ZAR rate for 30/12/2020
,Tuesday 29 December 2020,1 USD = 14.636 ZAR,USD ZAR rate for 29/12/2020
,Monday 28 December 2020,1 USD = 14.634 ZAR,USD ZAR rate for 28/12/2020
,Sunday 27 December 2020,1 USD = 14.576 ZAR,USD ZAR rate for 27/12/2020
,Saturday 26 December 2020,1 USD = 14.576 ZAR,USD ZAR rate for 26/12/2020
,Friday 25 December 2020,1 USD = 14.618 ZAR,USD ZAR rate for 25/12/2020
,Thursday 24 December 2020,1 USD = 14.596 ZAR,USD ZAR rate for 24/12/2020
,Wednesday 23 December 2020,1 USD = 14.682 ZAR,USD ZAR rate for 23/12/2020
,Tuesday 22 December 2020,1 USD = 14.605 ZAR,USD ZAR rate for 22/12/2020
,Monday 21 December 2020,1 USD = 14.687 ZAR,USD ZAR rate for 21/12/2020
,Sunday 20 December 2020,1 USD = 14.533 ZAR,USD ZAR rate for 20/12/2020
,Saturday 19 December 2020,1 USD = 14.542 ZAR,USD ZAR rate for 19/12/2020
,Friday 18 December 2020,1 USD = 14.645 ZAR,USD ZAR rate for 18/12/2020
,Thursday 17 December 2020,1 USD = 14.822 ZAR,USD ZAR rate for 17/12/2020
,Wednesday 16 December 2020,1 USD = 14.887 ZAR,USD ZAR rate for 16/12/2020
,Tuesday 15 December 2020,1 USD = 15.031 ZAR,USD ZAR rate for 15/12/2020
,Monday 14 December 2020,1 USD = 15.057 ZAR,USD ZAR rate for 14/12/2020
,Sunday 13 December 2020,1 USD = 15.139 ZAR,USD ZAR rate for 13/12/2020
,Saturday 12 December 2020,1 USD = 15.140 ZAR,USD ZAR rate for 12/12/2020
,Friday 11 December 2020,1 USD = 15.024 ZAR,USD ZAR rate for 11/12/2020
,Thursday 10 December 2020,1 USD = 14.969 ZAR,USD ZAR rate for 10/12/2020
,Wednesday 9 December 2020,1 USD = 15.001 ZAR,USD ZAR rate for 09/12/2020
,Tuesday 8 December 2020,1 USD = 15.163 ZAR,USD ZAR rate for 08/12/2020
,Monday 7 December 2020,1 USD = 15.200 ZAR,USD ZAR rate for 07/12/2020
,Sunday 6 December 2020,1 USD = 15.214 ZAR,USD ZAR rate for 06/12/2020
,Saturday 5 December 2020,1 USD = 15.214 ZAR,USD ZAR rate for 05/12/2020
,Friday 4 December 2020,1 USD = 15.187 ZAR,USD ZAR rate for 04/12/2020
,Thursday 3 December 2020,1 USD = 15.290 ZAR,USD ZAR rate for 03/12/2020
,Wednesday 2 December 2020,1 USD = 15.246 ZAR,USD ZAR rate for 02/12/2020
,Tuesday 1 December 2020,1 USD = 15.448 ZAR,USD ZAR rate for 01/12/2020
,Monday 30 November 2020,1 USD = 15.239 ZAR,USD ZAR rate for 30/11/2020
,Sunday 29 November 2020,1 USD = 15.266 ZAR,USD ZAR rate for 29/11/2020
,Saturday 28 November 2020,1 USD = 15.266 ZAR,USD ZAR rate for 28/11/2020
,Friday 27 November 2020,1 USD = 15.217 ZAR,USD ZAR rate for 27/11/2020
,Thursday 26 November 2020,1 USD = 15.140 ZAR,USD ZAR rate for 26/11/2020
,Wednesday 25 November 2020,1 USD = 15.191 ZAR,USD ZAR rate for 25/11/2020
,Tuesday 24 November 2020,1 USD = 15.386 ZAR,USD ZAR rate for 24/11/2020
,Monday 23 November 2020,1 USD = 15.427 ZAR,USD ZAR rate for 23/11/2020
,Sunday 22 November 2020,1 USD = 15.409 ZAR,USD ZAR rate for 22/11/2020
,Saturday 21 November 2020,1 USD = 15.410 ZAR,USD ZAR rate for 21/11/2020
,Friday 20 November 2020,1 USD = 15.433 ZAR,USD ZAR rate for 20/11/2020
,Thursday 19 November 2020,1 USD = 15.456 ZAR,USD ZAR rate for 19/11/2020
,Wednesday 18 November 2020,1 USD = 15.373 ZAR,USD ZAR rate for 18/11/2020
,Tuesday 17 November 2020,1 USD = 15.315 ZAR,USD ZAR rate for 17/11/2020
,Monday 16 November 2020,1 USD = 15.520 ZAR,USD ZAR rate for 16/11/2020
,Sunday 15 November 2020,1 USD = 15.506 ZAR,USD ZAR rate for 15/11/2020
,Saturday 14 November 2020,1 USD = 15.520 ZAR,USD ZAR rate for 14/11/2020
,Friday 13 November 2020,1 USD = 15.645 ZAR,USD ZAR rate for 13/11/2020
,Thursday 12 November 2020,1 USD = 15.633 ZAR,USD ZAR rate for 12/11/2020
,Wednesday 11 November 2020,1 USD = 15.604 ZAR,USD ZAR rate for 11/11/2020
,Tuesday 10 November 2020,1 USD = 15.398 ZAR,USD ZAR rate for 10/11/2020
,Monday 9 November 2020,1 USD = 15.599 ZAR,USD ZAR rate for 09/11/2020
,Sunday 8 November 2020,1 USD = 15.589 ZAR,USD ZAR rate for 08/11/2020
,Saturday 7 November 2020,1 USD = 15.589 ZAR,USD ZAR rate for 07/11/2020
,Friday 6 November 2020,1 USD = 15.719 ZAR,USD ZAR rate for 06/11/2020
,Thursday 5 November 2020,1 USD = 15.868 ZAR,USD ZAR rate for 05/11/2020
,Wednesday 4 November 2020,1 USD = 16.022 ZAR,USD ZAR rate for 04/11/2020
,Tuesday 3 November 2020,1 USD = 16.202 ZAR,USD ZAR rate for 03/11/2020
,Monday 2 November 2020,1 USD = 16.274 ZAR,USD ZAR rate for 02/11/2020
,Sunday 1 November 2020,1 USD = 16.249 ZAR,USD ZAR rate for 01/11/2020
,Saturday 31 October 2020,1 USD = 16.249 ZAR,USD ZAR rate for 31/10/2020
,Friday 30 October 2020,1 USD = 16.374 ZAR,USD ZAR rate for 30/10/2020
,Thursday 29 October 2020,1 USD = 16.375 ZAR,USD ZAR rate for 29/10/2020
,Wednesday 28 October 2020,1 USD = 16.198 ZAR,USD ZAR rate for 28/10/2020
,Tuesday 27 October 2020,1 USD = 16.208 ZAR,USD ZAR rate for 27/10/2020
,Monday 26 October 2020,1 USD = 16.224 ZAR,USD ZAR rate for 26/10/2020
,Sunday 25 October 2020,1 USD = 16.201 ZAR,USD ZAR rate for 25/10/2020
,Saturday 24 October 2020,1 USD = 16.201 ZAR,USD ZAR rate for 24/10/2020
,Friday 23 October 2020,1 USD = 16.208 ZAR,USD ZAR rate for 23/10/2020
,Thursday 22 October 2020,1 USD = 16.319 ZAR,USD ZAR rate for 22/10/2020
,Wednesday 21 October 2020,1 USD = 16.473 ZAR,USD ZAR rate for 21/10/2020
,Tuesday 20 October 2020,1 USD = 16.523 ZAR,USD ZAR rate for 20/10/2020
,Monday 19 October 2020,1 USD = 16.548 ZAR,USD ZAR rate for 19/10/2020
,Sunday 18 October 2020,1 USD = 16.546 ZAR,USD ZAR rate for 18/10/2020
,Saturday 17 October 2020,1 USD = 16.546 ZAR,USD ZAR rate for 17/10/2020
,Friday 16 October 2020,1 USD = 16.649 ZAR,USD ZAR rate for 16/10/2020
,Thursday 15 October 2020,1 USD = 16.514 ZAR,USD ZAR rate for 15/10/2020
,Wednesday 14 October 2020,1 USD = 16.479 ZAR,USD ZAR rate for 14/10/2020
,Tuesday 13 October 2020,1 USD = 16.513 ZAR,USD ZAR rate for 13/10/2020
,Monday 12 October 2020,1 USD = 16.502 ZAR,USD ZAR rate for 12/10/2020
,Sunday 11 October 2020,1 USD = 16.459 ZAR,USD ZAR rate for 11/10/2020
,Saturday 10 October 2020,1 USD = 16.459 ZAR,USD ZAR rate for 10/10/2020
,Friday 9 October 2020,1 USD = 16.583 ZAR,USD ZAR rate for 09/10/2020
,Thursday 8 October 2020,1 USD = 16.624 ZAR,USD ZAR rate for 08/10/2020
,Wednesday 7 October 2020,1 USD = 16.721 ZAR,USD ZAR rate for 07/10/2020
,Tuesday 6 October 2020,1 USD = 16.554 ZAR,USD ZAR rate for 06/10/2020
,Monday 5 October 2020,1 USD = 16.500 ZAR,USD ZAR rate for 05/10/2020
,Sunday 4 October 2020,1 USD = 16.492 ZAR,USD ZAR rate for 04/10/2020
,Saturday 3 October 2020,1 USD = 16.490 ZAR,USD ZAR rate for 03/10/2020
,Friday 2 October 2020,1 USD = 16.601 ZAR,USD ZAR rate for 02/10/2020
,Thursday 1 October 2020,1 USD = 16.737 ZAR,USD ZAR rate for 01/10/2020
,Wednesday 30 September 2020,1 USD = 16.931 ZAR,USD ZAR rate for 30/09/2020
,Tuesday 29 September 2020,1 USD = 17.065 ZAR,USD ZAR rate for 29/09/2020
,Monday 28 September 2020,1 USD = 17.116 ZAR,USD ZAR rate for 28/09/2020
,Sunday 27 September 2020,1 USD = 17.101 ZAR,USD ZAR rate for 27/09/2020
,Saturday 26 September 2020,1 USD = 17.101 ZAR,USD ZAR rate for 26/09/2020
,Friday 25 September 2020,1 USD = 16.938 ZAR,USD ZAR rate for 25/09/2020
,Thursday 24 September 2020,1 USD = 17.108 ZAR,USD ZAR rate for 24/09/2020
,Wednesday 23 September 2020,1 USD = 16.808 ZAR,USD ZAR rate for 23/09/2020
,Tuesday 22 September 2020,1 USD = 16.792 ZAR,USD ZAR rate for 22/09/2020
,Monday 21 September 2020,1 USD = 16.299 ZAR,USD ZAR rate for 21/09/2020
,Sunday 20 September 2020,1 USD = 16.336 ZAR,USD ZAR rate for 20/09/2020
,Saturday 19 September 2020,1 USD = 16.336 ZAR,USD ZAR rate for 19/09/2020
,Friday 18 September 2020,1 USD = 16.166 ZAR,USD ZAR rate for 18/09/2020
,Thursday 17 September 2020,1 USD = 16.285 ZAR,USD ZAR rate for 17/09/2020
,Wednesday 16 September 2020,1 USD = 16.454 ZAR,USD ZAR rate for 16/09/2020
,Tuesday 15 September 2020,1 USD = 16.655 ZAR,USD ZAR rate for 15/09/2020
,Monday 14 September 2020,1 USD = 16.733 ZAR,USD ZAR rate for 14/09/2020
,Sunday 13 September 2020,1 USD = 16.747 ZAR,USD ZAR rate for 13/09/2020
,Saturday 12 September 2020,1 USD = 16.747 ZAR,USD ZAR rate for 12/09/2020
,Friday 11 September 2020,1 USD = 16.878 ZAR,USD ZAR rate for 11/09/2020
,Thursday 10 September 2020,1 USD = 16.618 ZAR,USD ZAR rate for 10/09/2020
,Wednesday 9 September 2020,1 USD = 16.981 ZAR,USD ZAR rate for 09/09/2020
,Tuesday 8 September 2020,1 USD = 16.744 ZAR,USD ZAR rate for 08/09/2020
,Monday 7 September 2020,1 USD = 16.602 ZAR,USD ZAR rate for 07/09/2020
,Sunday 6 September 2020,1 USD = 16.583 ZAR,USD ZAR rate for 06/09/2020
,Saturday 5 September 2020,1 USD = 16.583 ZAR,USD ZAR rate for 05/09/2020
,Friday 4 September 2020,1 USD = 16.754 ZAR,USD ZAR rate for 04/09/2020
,Thursday 3 September 2020,1 USD = 16.810 ZAR,USD ZAR rate for 03/09/2020
,Wednesday 2 September 2020,1 USD = 16.658 ZAR,USD ZAR rate for 02/09/2020
,Tuesday 1 September 2020,1 USD = 16.941 ZAR,USD ZAR rate for 01/09/2020
,Monday 31 August 2020,1 USD = 16.603 ZAR,USD ZAR rate for 31/08/2020
,Sunday 30 August 2020,1 USD = 16.573 ZAR,USD ZAR rate for 30/08/2020
,Saturday 29 August 2020,1 USD = 16.573 ZAR,USD ZAR rate for 29/08/2020
,Friday 28 August 2020,1 USD = 17.057 ZAR,USD ZAR rate for 28/08/2020
,Thursday 27 August 2020,1 USD = 16.874 ZAR,USD ZAR rate for 27/08/2020
,Wednesday 26 August 2020,1 USD = 16.845 ZAR,USD ZAR rate for 26/08/2020
,Tuesday 25 August 2020,1 USD = 16.953 ZAR,USD ZAR rate for 25/08/2020
,Monday 24 August 2020,1 USD = 17.135 ZAR,USD ZAR rate for 24/08/2020
,Sunday 23 August 2020,1 USD = 17.156 ZAR,USD ZAR rate for 23/08/2020
,Saturday 22 August 2020,1 USD = 17.156 ZAR,USD ZAR rate for 22/08/2020
,Friday 21 August 2020,1 USD = 17.260 ZAR,USD ZAR rate for 21/08/2020
,Thursday 20 August 2020,1 USD = 17.262 ZAR,USD ZAR rate for 20/08/2020
,Wednesday 19 August 2020,1 USD = 17.324 ZAR,USD ZAR rate for 19/08/2020
,Tuesday 18 August 2020,1 USD = 17.498 ZAR,USD ZAR rate for 18/08/2020
,Monday 17 August 2020,1 USD = 17.388 ZAR,USD ZAR rate for 17/08/2020
,Sunday 16 August 2020,,USD ZAR rate for 16/08/2020
